nom,vi
埃 喂 傷 𥙩 饒 穷, ơ ươ ấ  ù
台 篤 志 𠬠 𢚸 徐 埃, ố í ộ ò ờ 
𨕭 頭 畧 㩫 簮 掑,ê đầ ượ ắ â à
𥪝 𠀧 𨑮 𦒹 傳 英 攝 固 𨱽 𫨩 空,  ươ á ệ  ế ó à  ô
台 𦖑 傳 李 公,  ệ ý ô
欺 𢧚 𡗶 拱 朝 𢚸 奇 𠄩, ê ờ ũ ề ò ả 
台 𦖑 傳 秀 才,  ệ ú à
題 𠸜 𡭉 鵲 縁 𡗶 𦓡 𢧚,đề ê ắ ướ ê ờ à ê
台 𦖑 傳 秀 淵,  ệ ú ê
𠫾 𨔈 麻 吏 﨤 仙 結 願,đ ơ à ạ ặ ê ế ề
台 𦖑 傳 張 員,  ệ ươ ê
𥙩 𡥵 丞 相 縁 庄,ấ  ừ ướ ê ă
宋 珍 麻 𥙩 菊 花,ố â à ấ ú 
沛 𨖅 使 事 交 和 𨑮 冬,  ứ ự  à ườ đô
台 𦖑 傳 劉 洪,  ệ ư ồ
𥙩 陳 廣 珥 𫷜 空 庄,ấ ầ ả ĩ ă ô ă
台 𦖑 傳 點 知,  ệ để 
於 渃 齊 於 渃 梁,ở ướ ề ở ướ ươ
主 韜 不 義 堆 塘,ú  ấ ĩ đò đườ
扒 𡥵 補 朱 停,ắ  ỏ  đà
買 𠳒 教 訓 丁 丁,ấ ờ á ấ đ đ
傳 尼 女 則 家 庭 恨 灰,ệ à ữ ắ  đì ẳ 
傳 尼 貞 鼠 摄 制,ệ à  ử ế ơ
桃 蘭 挂 蕙 堆 庄,đà  ế ệ đô ă
台 𦖑 傳 度 梅,  ệ độ 
几 忠 𠊚 佞 固 𡗶 於 𥪝,ẻ  ườ ị ó ờ ở 
傳 翹 計 㐌 属 𢚸,ệ ề ể đã ộ ò
𢧚 庄 辰 拱 在 𢚸 媄 吒,ê ă ì ũ ạ ò ẹ 
台 𦖑 傳 𧊉 花,  ệ ướ 
𠬠 花 𠬠 𧊉 乙 堆,ộ  ộ ướ ắ đô
阮 生 傳 意 䀡 制,ễ  ệ ấ  ơ
𠫾 𫥨 習 學 縁 𡗶 吹 𢧚,đ  ậ ọ ê ờ  ê
西 楊 傳 意 此 䀡,â ươ ệ ấ ử 
珠 竜 餒 伴 朱 𢧚 𠊛,â  ô ạ  ê ườ
買 台 𡽫 渃 車 𣾺,ớ   ướ  ơ
中 軍 傳 意 仍 𠳒 𢖵, â ệ ấ ữ ờ ớ
箋 花 傳 意 𨔍 𨓡,ê  ệ ấ ạ ù
局 棋 堆 妸 𦟐 紅 打 制,ộ ờ đô ả á ồ đá ơ
皇 儲 傳 意 天 才,à ừ ệ ấ ê à
詐 形 爫 𡛔 此 𠳒 端 荘,á ì à á ử ờ đ 
征 婦 傳 意 朱 詳, ụ ệ ấ  ườ
旗 毛 𨕭 塘 沚,ờ  ê đườ ẩ
觀 音 傳 意 欺 𫢩, â ệ ấ  
氏 牟 抌 覩 冤 尼 庒 他,ị ầ đ đổ  à ẳ 
