nom,vi
大越史記續編序,đạ ệ ử í ụ ê ự
國之有史尙矣,ố  ữ ử ượ ĩ
我越歷代史記先正黎文休潘孚先作之於前吳士連武瓊述之於後,ã ệ ị đạ ử í ê í ê ă ư   ê á  ư ề ô ĩ ê ũ ỳ ậ  ư ậ
其間事蹟之詳畧政治之得失莫不悉備於記载之中,ì  ự í  ườ ượ í ị  đắ ấ ạ ấ ấ ị ư í ả  
但未行鋟梓更手傳筆因循抄録不䏻無陶陰帝乕之疑,đã ị à ẩ ử á ủ ề ú â ầ  ụ ấ ă ô đà â đế ổ  
迨至,đã í 
我朝玄宗穆皇帝臨御之𥘉頼弘祖陽王興建治平造就𭓇問命宰臣范公著等參考𦾔史有如史記外紀本紀全書本紀實録並依前史名例又參究編述自國朝荘宗裕皇帝至,ã ề ề ô ụ à đế â ự  ơ ạ ằ ổ ươ ươ ư ế ị ì ạ ự ọ ấ ệ ể ầ ạ ô ứ đẳ  ả ự ử ữ ư ử í ạ ỉ ả ỉ à ư ả ỉ ự ụ ị  ề ử  ệ ự  ứ ê ậ ự ố ề  ô ụ à đế í 
神宗渊皇帝增入國史命曰本紀續編付諸刊刻十纔五六,ầ ô ê à đế ă ậ ố ử ệ ế  ỉ ụ ê ó ư  ắ ậ à ũ ụ
第事未告竣猶藏於秘閣,đệ ự ị á â  à ư í á
求䏻繼其志而述其事纂其要而集其成盖必有待於今日矣,ầ ă ế ì í  ậ ì ự ả ì ế  ậ ì à á ấ ữ đã ư  ậ ĩ
欽帷皇上陛下理會道源緝熙敬學寔頼大元帥綂國政上聖父師盛功仁明,â  à ượ ệ ạ í ộ đạ ê ậ  í ọ ự ạ đạ ê á ố ố í ượ á ụ ư ị ô â  
威德定王整頓乾坤綱維治教專委欽差節制各處水歩諸營兼掌政權太尉晉國公鄭柄賛㐮治化振作文風深帷史記之中明是非而公好惡森乎華衮斧鉞之榮嚴寔為萬世衡鑑, đứ đị ươ ỉ đố à ô ươ  ị á ê ỷ â  ế ế á ứ ỷ ộ ư  ê ưở í ề á ý ấ ố ô ị í á ươ ị á ấ á ă  â  ử í    ị   ô ế ố â ồ  ổ ủ ệ   ê ự  ạ ế à á
乃於事幾之暇特命臣等訂考𦾔史訛者正之純者録之,ã ư ự ơ  ạ đặ ệ ầ đẳ đí ả ự ử  ả í  ầ ả ụ 
其世次凣例年表一如前所著述,ì ế ứ à ệ ê ể ấ ư ề ở ướ ậ
又蓃獵𦾔跡參諸野史類編自玄宗穆皇帝景治之𥘉年至嘉宗羙皇帝德元之二年凣十有三載事實亦命曰本紀續編,ự ư ệ ự í  ư ã ử ạ ê ự ề ô ụ à đế ả ị  ơ ê í  ô ĩ à đế đứ ê  ị ê à ậ ữ  ả ự ự ệ ệ ế ả ỉ ụ ê
