nom,vi
宮闕府庫爲之一空,cung khuyết phủ khố vi chi nhất không
咍󰠳地獄於沔人間,hay đâu địa ngục ở miền nhân gian
媒𦖑娘呐𫨩情,mụ nghe nàng nói hay tình
噐械資粮多取於賊,khí giới tư lương đa thủ ư tặc
改登聞院檢法官為廷尉寺卿少卿,cải đăng văn viện kiểm pháp quan vi đình uý tự khanh thiếu khanh
珥如苝󰠱如𨨲,nhẹ như bấc nặng như chì
地裂七丈未祥其處畜産魚虫多死〇,địa liệt thất trượng vị tường kì xứ súc sản ngư trùng đa tử 
漢文,hán văn
将兵󰱥至謀山為應,tương binh kế chí lạng sơn vi ứng
吉鐄堒怒𡏧紅𨤮箕,cát vàng cồn nọ bụi hồng dặm kia
景異面叱輔曰我欲殺爾反爲所擒,cảnh dị diện sất phụ viết ngã dục sát nhĩ phản vi sở cầm
城以兵窺我邊境,thành dĩ binh khuy ngã biên cảnh
悲饒,bây nhiêu
疎 帶 俗 嫌 勾 帶 俗,thơ đới tục hiềm câu đới tục
柳萌作乱之心未必不由乎此,liễu manh tác loạn chi tâm vị tất bất do hồ thử
癸未日下詔省躬,quý mùi nhật hạ chiếu tỉnh cung
敕諭大臣百官等昔我太祖櫛風沐雨以定天下時則佐命勳臣同其勞若恩義兼至以故特賜國姓用示殊眷然爾子孫傳襲日久,sắc dụ đại thần bách quan đẳng tích ngã thái tổ trất phong mộc vũ dĩ định thiên hạ thời tắc tá mệnh huân thần đồng kì lao nhược ân nghĩa kiêm chí dĩ cố đặc tứ quốc tính dụng thị thù quyến nhiên nhĩ tử tôn truyền tập nhật cửu
後,hậu
定小江桑洲税,định tiểu giang tang châu thuế
十二日皇弟維祫即皇帝位,thập nhị nhật hoàng đệ duy hợp tức hoàng đế vị
冬十月明差官捧賚勑印來封清王爲副國王,đông thập nguyệt minh sai quan bổng lãi sắc ấn lai phong thanh vương vi phó quốc vương
想 役 之,tưởng việc gì
至生來令我曰聞所不聞,chí sinh lai lệnh ngã viết văn sở bất văn
𠃣歲,ít tuổi
占云其变應妃后亡,chiêm vân kì biến ứng phi hậu vong
林 泉 眷 奇 繁 吏,lâm tuyền quyến cả phồn lại
時莫登庸鎮守山南陳真有書勸截之登庸不忍弘裕得免,thời mạc đăng dung trấn thủ sơn nam trần chân hữu thư khuyến tiệt chi đăng dung bất nhận hoằng dụ đắc miễn
左,tả
九月十七日李安方政等棄乂安浮海趍還東䦕止留蔡福守乂安城,cửu nguyệt thập thất nhật lí an phương chính đẳng khí nghệ an phù hải xu hoàn đông quan chỉ lưu thái phúc thủ nghệ an thành
昭烈齣中山靖王而温公不取夫𡸈私於取舍哉,chiêu liệt xuất trung sơn tĩnh vương nhi ôn công bất thú phu há tư ư thú xá tai
以吏部左侍郎阮貴雅為御史󰱑都御史,dĩ lại bộ tả thị lang nguyễn quý nhã vi ngự sử đài đô ngự sử
希周罵輔為殘賊,hi chu mạ phụ vi tàn tặc
黄感謝奉命赴鎮,hoàng cảm tạ phụng mệnh phó trấn
王数以亂臣賊子之罪乃令仕林差人斷椿脚足而死,vương sổ dĩ loạn thần tặc tử chi tội nãi lệnh sĩ lâm sai nhân đoạn xuân cước túc nhi tử
生以阮有嚴掌翰林院事,sinh dĩ nguyễn hữu nghiêm chưởng hàn lâm viện sự
定南王亦親送至江津行禮曲盡哀敬,định nam vương diệc thân tống chí giang tân hành lễ khúc tận ai kính
撩𣘃𥹰拱固𣈜𢯏花,trèo cây lâu cũng có ngày bẻ hoa
但未行鋟梓更手傳筆因循抄録不䏻無陶陰帝乕之疑,đãn vị hành tẩm tử cánh thủ truyền bút nhân tuần sao lục bất năng vô đào âm đế hổ chi nghi
守度恐人心懷舊生变遷居真教寺佯為奉事内實謹守,thủ độ khủng nhân tâm hoài cựu sinh biến thiên cư chân giáo tự dương vi phụng sự nội thực cẩn thủ
其餘陳日昭阮飛卿阮謹杜满並以先降,kì dư trần nhật chiêu nguyễn phi khanh nguyễn cẩn đỗ mãn tịnh dĩ tiên hàng
深切於疾心寅畏󰱩申於懇禱,thâm thiết ư tật tâm dần uý cự thân ư khẩn đảo
首領何晏俊惧引其徒竄山林,thủ lĩnh hà án tuấn cụ dẫn kì đồ thoán sơn lâm
帝既即位為仁宗及太后發䘮,đế ký tức vị vi nhân tông cập thái hậu phát táng
丁蒙奉帝幸寶洲,đinh mông phụng đế hạnh bảo châu
夏四月占城王子地婆剌樂舜乍兠羅繼阿撻㻋五人來附,hạ tứ nguyệt chiêm thành vương tử địa bà lạt lạc thuấn sạ đâu la kế a thát lạt ngũ nhân lai phó
畧朱底𠬠路唭󰡲娄,sau cho để một trò cười về sau
